Avaliação;reviews;preco_antigo;preco_atual;data
4.7;68.0;1799.0;1673.0;2025-07-28 22:06:17.449692
;;2899.0;2754.0;2025-07-28 22:06:17.449692
4.8;5440.0;3699.0;2320.0;2025-07-28 22:06:17.449692
5.0;7.0;3099.0;2663.0;2025-07-28 22:06:17.449692
4.8;8175.0;4499.0;2899.0;2025-07-28 22:06:17.449692
4.8;979.0;4999.0;3099.0;2025-07-28 22:06:17.449692
;;;1849.0;2025-07-28 22:06:17.449692
4.8;1456.0;4285.0;2999.0;2025-07-28 22:06:17.449692
4.8;1872.0;;7299.0;2025-07-28 22:06:17.449692
4.8;1802.0;3698.0;3339.0;2025-07-28 22:06:17.449692
4.7;622.0;;1666.0;2025-07-28 22:06:17.449692
4.5;5028.0;1649.0;1349.0;2025-07-28 22:06:17.449692
4.8;4606.0;4199.0;2999.0;2025-07-28 22:06:17.449692
4.6;115.0;3284.0;2024.0;2025-07-28 22:06:17.449692
4.7;418.0;2712.0;1785.0;2025-07-28 22:06:17.449692
4.8;692.0;4599.0;3699.0;2025-07-28 22:06:17.449692
4.8;3389.0;5299.0;4649.0;2025-07-28 22:06:17.449692
4.8;487.0;4855.0;3399.0;2025-07-28 22:06:17.449692
4.6;4343.0;1799.0;1378.0;2025-07-28 22:06:17.449692
4.8;749.0;4141.0;2754.0;2025-07-28 22:06:17.449692
4.8;8937.0;3682.0;2584.0;2025-07-28 22:06:17.449692
4.9;710.0;3199.0;2389.0;2025-07-28 22:06:17.449692
4.9;179.0;8998.0;6299.0;2025-07-28 22:06:17.449692
;;;2376.0;2025-07-28 22:06:17.449692
4.5;387.0;2055.0;1367.0;2025-07-28 22:06:17.449692
4.8;1413.0;;7299.0;2025-07-28 22:06:17.449692
4.6;3435.0;1999.0;1599.0;2025-07-28 22:06:17.449692
4.8;1236.0;7398.0;4962.0;2025-07-28 22:06:17.449692
4.8;2043.0;4399.0;3799.0;2025-07-28 22:06:17.449692
4.9;42.0;4998.0;2879.0;2025-07-28 22:06:17.449692
4.6;1068.0;2798.0;1799.0;2025-07-28 22:06:17.449692
4.8;1457.0;3569.0;2289.0;2025-07-28 22:06:17.449692
4.7;43.0;3900.0;2422.0;2025-07-28 22:06:17.449692
4.7;609.0;2599.0;2368.0;2025-07-28 22:06:17.449692
4.8;668.0;4141.0;2879.0;2025-07-28 22:06:17.449692
4.8;10.0;4199.0;3620.0;2025-07-28 22:06:17.449692
4.7;104.0;5199.0;2664.0;2025-07-28 22:06:17.449692
4.7;26.0;3849.0;3098.0;2025-07-28 22:06:17.449692
4.9;47.0;4199.0;3599.0;2025-07-28 22:06:17.449692
4.8;451.0;;3599.0;2025-07-28 22:06:17.449692
;;;2506.0;2025-07-28 22:06:17.449692
;;;2599.0;2025-07-28 22:06:17.449692
4.8;144.0;;2944.0;2025-07-28 22:06:17.449692
4.8;43.0;4950.0;2890.0;2025-07-28 22:06:17.449692
;;;1899.0;2025-07-28 22:06:17.449692
4.8;1006.0;2999.0;2829.0;2025-07-28 22:06:17.449692
4.0;5.0;4110.0;3199.0;2025-07-28 22:06:17.449692
4.8;8.0;3319.0;3069.0;2025-07-28 22:06:17.449692
4.8;668.0;4141.0;2879.0;2025-07-28 22:06:17.449692
5.0;1.0;4666.0;3299.0;2025-07-28 22:06:17.449692
4.8;43.0;4950.0;2890.0;2025-07-28 22:06:17.449692
;;;1899.0;2025-07-28 22:06:17.449692
4.8;1006.0;2999.0;2829.0;2025-07-28 22:06:17.449692
4.0;5.0;4110.0;3199.0;2025-07-28 22:06:17.449692
;;;9699.0;2025-07-28 22:06:17.449692
4.9;1356.0;5712.0;3899.0;2025-07-28 22:06:17.449692
4.8;4606.0;4199.0;2999.0;2025-07-28 22:06:17.449692
4.8;692.0;4599.0;3699.0;2025-07-28 22:06:17.449692
5.0;19.0;3599.0;3113.0;2025-07-28 22:06:17.449692
4.9;20.0;4944.0;2469.0;2025-07-28 22:06:17.449692
4.9;419.0;5859.0;4799.0;2025-07-28 22:06:17.449692
4.8;80.0;7419.0;4929.0;2025-07-28 22:06:17.449692
4.8;68.0;4799.0;3299.0;2025-07-28 22:06:17.449692
4.8;5440.0;2199.0;1914.0;2025-07-28 22:06:17.449692
4.5;387.0;2055.0;1367.0;2025-07-28 22:06:17.449692
4.8;979.0;4999.0;3099.0;2025-07-28 22:06:17.449692
4.9;42.0;4998.0;2879.0;2025-07-28 22:06:17.449692
4.7;264.0;4999.0;3799.0;2025-07-28 22:06:17.449692
4.9;1356.0;5712.0;3899.0;2025-07-28 22:06:17.449692
5.0;1.0;3900.0;2535.0;2025-07-28 22:06:17.449692
4.8;24.0;3999.0;3059.0;2025-07-28 22:06:17.449692
5.0;2.0;3249.0;2910.0;2025-07-28 22:06:17.449692
4.8;482.0;4372.0;2699.0;2025-07-28 22:06:17.449692
;;3123.0;1664.0;2025-07-28 22:06:17.449692
4.1;7.0;;2099.0;2025-07-28 22:06:17.449692
4.4;7.0;4399.0;3809.0;2025-07-28 22:06:17.449692
4.8;7661.0;4117.0;3096.0;2025-07-28 22:06:17.449692
4.8;81.0;3563.0;3076.0;2025-07-28 22:06:17.449692
4.6;116.0;3990.0;2747.0;2025-07-28 22:06:17.449692
4.8;239.0;3517.0;2799.0;2025-07-28 22:06:17.449692
;;2999.0;2789.0;2025-07-28 22:06:17.449692
4.8;37.0;4999.0;3799.0;2025-07-28 22:06:17.449692
4.3;11.0;3610.0;3099.0;2025-07-28 22:06:17.449692
4.7;104.0;2900.0;2262.0;2025-07-28 22:06:17.449692
4.8;285.0;3232.0;2499.0;2025-07-28 22:06:17.449692
4.9;62.0;4398.0;3899.0;2025-07-28 22:06:17.449692
4.8;1177.0;;3132.0;2025-07-28 22:06:17.449692
4.9;95.0;;5460.0;2025-07-28 22:06:17.449692
4.8;70.0;;5636.0;2025-07-28 22:06:17.449692
5.0;1.0;3959.0;2925.0;2025-07-28 22:06:17.449692
4.3;4.0;;2871.0;2025-07-28 22:06:17.449692
;;2499.0;1574.0;2025-07-28 22:06:17.449692
4.7;109.0;3599.0;2499.0;2025-07-28 22:06:17.449692
4.8;5440.0;;2499.0;2025-07-28 22:06:17.449692
4.8;122.0;5299.0;4899.0;2025-07-28 22:06:17.449692
5.0;2.0;6179.0;5759.0;2025-07-28 22:06:17.449692
;;1789.0;1413.0;2025-07-28 22:06:17.449692
4.8;1021.0;2699.0;2379.0;2025-07-28 22:06:17.449692
4.7;183.0;2199.0;1599.0;2025-07-28 22:06:17.449692
4.7;16.0;5849.0;5556.0;2025-07-28 22:06:17.449692
4.8;8.0;3319.0;3069.0;2025-07-28 22:06:17.449692
4.8;668.0;4141.0;2879.0;2025-07-28 22:06:17.449692
5.0;1.0;4666.0;3299.0;2025-07-28 22:06:17.449692
4.7;183.0;2199.0;1599.0;2025-07-28 22:06:17.449692
4.7;16.0;5849.0;5556.0;2025-07-28 22:06:17.449692
4.8;154.0;;5159.0;2025-07-28 22:06:17.449692
;;1550.0;1271.0;2025-07-28 22:06:17.449692
4.8;1070.0;2899.0;2464.0;2025-07-28 22:06:17.449692
4.9;1356.0;5712.0;3899.0;2025-07-28 22:06:17.449692
4.8;4606.0;4199.0;2999.0;2025-07-28 22:06:17.449692
4.8;692.0;4599.0;3699.0;2025-07-28 22:06:17.449692
4.9;29.0;3699.0;3113.0;2025-07-28 22:06:17.449692
4.8;21.0;11499.0;8796.0;2025-07-28 22:06:17.449692
;;5999.0;5329.0;2025-07-28 22:06:17.449692
;;4999.0;4699.0;2025-07-28 22:06:17.449692
5.0;1.0;1894.0;1704.0;2025-07-28 22:06:17.449692
4.7;288.0;2099.0;1849.0;2025-07-28 22:06:17.449692
4.5;387.0;2055.0;1367.0;2025-07-28 22:06:17.449692
4.8;979.0;4999.0;3099.0;2025-07-28 22:06:17.449692
4.9;42.0;4998.0;2879.0;2025-07-28 22:06:17.449692
4.7;1853.0;2499.0;1849.0;2025-07-28 22:06:17.449692
5.0;1.0;2373.0;1769.0;2025-07-28 22:06:17.449692
4.9;399.0;3190.0;2429.0;2025-07-28 22:06:17.449692
4.5;460.0;2099.0;1399.0;2025-07-28 22:06:17.449692
;;;2149.0;2025-07-28 22:06:17.449692
4.9;14.0;5796.0;4997.0;2025-07-28 22:06:17.449692
4.8;20.0;3699.0;3299.0;2025-07-28 22:06:17.449692
4.6;4343.0;1849.0;1229.0;2025-07-28 22:06:17.449692
5.0;7.0;;3199.0;2025-07-28 22:06:17.449692
;;5299.0;4709.0;2025-07-28 22:06:17.449692
;;;2199.0;2025-07-28 22:06:17.449692
4.3;36.0;3899.0;2649.0;2025-07-28 22:06:17.449692
4.8;10.0;7999.0;7249.0;2025-07-28 22:06:17.449692
;;2199.0;1539.0;2025-07-28 22:06:17.449692
;;6099.0;3699.0;2025-07-28 22:06:17.449692
5.0;2.0;;3199.0;2025-07-28 22:06:17.449692
4.8;434.0;3599.0;3199.0;2025-07-28 22:06:17.449692
;;9999.0;8719.0;2025-07-28 22:06:17.449692
4.6;268.0;1999.0;1709.0;2025-07-28 22:06:17.449692
;;;7399.0;2025-07-28 22:06:17.449692
5.0;1.0;4666.0;3299.0;2025-07-28 22:06:17.449692
;;;7999.0;2025-07-28 22:06:17.449692
4.9;110.0;5299.0;4579.0;2025-07-28 22:06:17.449692
;;;5549.0;2025-07-28 22:06:17.449692
4.6;34.0;4099.0;2999.0;2025-07-28 22:06:17.449692
4.2;10.0;11599.0;9859.0;2025-07-28 22:06:17.449692
4.8;245.0;;5990.0;2025-07-28 22:06:17.449692
;;;1990.0;2025-07-28 22:06:17.449692
4.4;108.0;1999.0;1719.0;2025-07-28 22:06:17.449692
4.5;4.0;;3419.0;2025-07-28 22:06:17.449692
;;;1849.0;2025-07-28 22:06:17.449692
4.8;12.0;4599.0;3404.0;2025-07-28 22:06:17.449692
4.9;14.0;7599.0;6629.0;2025-07-28 22:06:17.449692
4.8;19.0;6657.0;4699.0;2025-07-28 22:06:17.449692
;;3899.0;3230.0;2025-07-28 22:06:17.449692
4.8;8.0;3319.0;3069.0;2025-07-28 22:06:17.449692
4.8;668.0;4141.0;2879.0;2025-07-28 22:06:17.449692
5.0;1.0;4666.0;3299.0;2025-07-28 22:06:17.449692
;;3899.0;3230.0;2025-07-28 22:06:17.449692
5.0;1.0;2499.0;2374.0;2025-07-28 22:06:17.449692
;;2348.0;1479.0;2025-07-28 22:06:17.449692
4.9;57.0;4199.0;3250.0;2025-07-28 22:06:17.449692
4.9;1356.0;5712.0;3899.0;2025-07-28 22:06:17.449692
4.5;387.0;2055.0;1367.0;2025-07-28 22:06:17.449692
4.9;42.0;4998.0;2879.0;2025-07-28 22:06:17.449692
4.7;665.0;1899.0;1785.0;2025-07-28 22:06:17.449692
;;2499.0;1674.0;2025-07-28 22:06:17.449692
;;7999.0;4559.0;2025-07-28 22:06:17.449692
4.0;5.0;2599.0;2269.0;2025-07-28 22:06:17.449692
4.9;1041.0;5999.0;5118.0;2025-07-28 22:06:17.449692
4.8;256.0;4999.0;4299.0;2025-07-28 22:06:17.449692
4.7;43.0;3712.0;2539.0;2025-07-28 22:06:17.449692
4.9;47.0;4199.0;3599.0;2025-07-28 22:06:17.449692
5.0;1.0;4248.0;3738.0;2025-07-28 22:06:17.449692
;;;1799.0;2025-07-28 22:06:17.449692
;;3549.0;3279.0;2025-07-28 22:06:17.449692
5.0;4.0;7899.0;6894.0;2025-07-28 22:06:17.449692
4.9;9.0;1649.0;1424.0;2025-07-28 22:06:17.449692
5.0;3.0;5999.0;4599.0;2025-07-28 22:06:17.449692
5.0;3.0;;9842.0;2025-07-28 22:06:17.449692
4.0;5.0;;3625.0;2025-07-28 22:06:17.449692
5.0;2.0;;1376.0;2025-07-28 22:06:17.449692
;;10999.0;9769.0;2025-07-28 22:06:17.449692
4.6;19.0;2699.0;2321.0;2025-07-28 22:06:17.449692
4.8;122.0;2799.0;2411.0;2025-07-28 22:06:17.449692
5.0;1.0;;1457.0;2025-07-28 22:06:17.449692
4.8;149.0;;4199.0;2025-07-28 22:06:17.449692
4.6;547.0;1899.0;1196.0;2025-07-28 22:06:17.449692
5.0;1.0;;4589.0;2025-07-28 22:06:17.449692
4.9;15.0;5333.0;4319.0;2025-07-28 22:06:17.449692
4.6;103.0;2499.0;2028.0;2025-07-28 22:06:17.449692
;;;2499.0;2025-07-28 22:06:17.449692
4.8;1021.0;;2599.0;2025-07-28 22:06:17.449692
;;;2841.0;2025-07-28 22:06:17.449692
;;3599.0;3113.0;2025-07-28 22:06:17.449692
4.8;54.0;2999.0;2699.0;2025-07-28 22:06:17.449692
4.9;605.0;;3640.0;2025-07-28 22:06:17.449692
4.2;160.0;;2699.0;2025-07-28 22:06:17.449692
;;8499.0;6489.0;2025-07-28 22:06:17.449692
4.1;10.0;4599.0;3599.0;2025-07-28 22:06:17.449692
4.7;193.0;2799.0;2351.0;2025-07-28 22:06:17.449692
;;7999.0;7019.0;2025-07-28 22:06:17.449692
;;;3099.0;2025-07-28 22:06:17.449692
;;4599.0;3979.0;2025-07-28 22:06:17.449692
4.8;311.0;;3399.0;2025-07-28 22:06:17.449692
4.8;5440.0;;4499.0;2025-07-28 22:06:17.449692
4.9;14.0;8199.0;7149.0;2025-07-28 22:06:17.449692
4.8;8.0;3319.0;3069.0;2025-07-28 22:06:17.449692
5.0;1.0;4666.0;3299.0;2025-07-28 22:06:17.449692
4.9;1356.0;5712.0;3899.0;2025-07-28 22:06:17.449692
4.9;14.0;8199.0;7149.0;2025-07-28 22:06:17.449692
4.6;33.0;;2499.0;2025-07-28 22:06:17.449692
4.7;7.0;7199.0;6284.0;2025-07-28 22:06:17.449692
5.0;7.0;;5934.0;2025-07-28 22:06:17.449692
4.8;256.0;4999.0;4299.0;2025-07-28 22:06:17.449692
4.8;19.0;6657.0;4699.0;2025-07-28 22:06:17.449692
;;3123.0;1664.0;2025-07-28 22:06:17.449692
;;2999.0;2819.0;2025-07-28 22:06:17.449692
4.9;25.0;5699.0;4330.0;2025-07-28 22:06:17.449692
5.0;1.0;;1929.0;2025-07-28 22:06:17.449692
5.0;7.0;5999.0;5229.0;2025-07-28 22:06:17.449692
;;;4769.0;2025-07-28 22:06:17.449692
4.8;81.0;3563.0;3076.0;2025-07-28 22:06:17.449692
4.9;4423.0;6699.0;3299.0;2025-07-28 22:06:17.449692
4.8;37.0;4999.0;3799.0;2025-07-28 22:06:17.449692
;;;2199.0;2025-07-28 22:06:17.449692
;;;3399.0;2025-07-28 22:06:17.449692
4.6;425.0;2999.0;2399.0;2025-07-28 22:06:17.449692
;;5500.0;4565.0;2025-07-28 22:06:17.449692
4.7;3.0;;3399.0;2025-07-28 22:06:17.449692
4.9;76.0;5571.0;4899.0;2025-07-28 22:06:17.449692
4.7;49.0;3899.0;2865.0;2025-07-28 22:06:17.449692
;;2249.0;1484.0;2025-07-28 22:06:17.449692
4.3;9.0;;1799.0;2025-07-28 22:06:17.449692
4.8;13.0;3675.0;2999.0;2025-07-28 22:06:17.449692
;;2599.0;2449.0;2025-07-28 22:06:17.449692
;;;2327.0;2025-07-28 22:06:17.449692
;;;2183.0;2025-07-28 22:06:17.449692
4.8;168.0;;6359.0;2025-07-28 22:06:17.449692
4.7;7.0;4299.0;3249.0;2025-07-28 22:06:17.449692
4.6;11.0;;4050.0;2025-07-28 22:06:17.449692
4.8;335.0;2599.0;2239.0;2025-07-28 22:06:17.449692
4.8;26.0;2699.0;2559.0;2025-07-28 22:06:17.449692
;;3499.0;2799.0;2025-07-28 22:06:17.449692
;;4234.0;3599.0;2025-07-28 22:06:17.449692
;;3399.0;2942.0;2025-07-28 22:06:17.449692
5.0;2.0;7999.0;6559.0;2025-07-28 22:06:17.449692
;;;3897.0;2025-07-28 22:06:17.449692
;;;2559.0;2025-07-28 22:06:17.449692
;;;2109.0;2025-07-28 22:06:17.449692
