nome,vendedor,Avaliação,reviews,preco_antigo,preco_atual,source,data
"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Vikings,4.8,6087.0,3998.0,2463.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Acer Nitro 51uz Ci5 13ªg 16gb Ram 512ssd Rtx4050,Acer Brasil,4.9,21.0,6999.0,5199.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Vikings,4.8,9114.0,4499.0,3099.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",Vikings,4.8,5072.0,4199.0,2911.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Acer Gamer Nitro V15 Intel Core i7 13ª Ger. 32GB 512SSD RTX3050 com 6GB GDDR6 Nvidia GeForce Linux Gutta ANV15-51-73BP,Vikings,4.8,206.0,8998.0,5984.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Mobcom,4.9,627.0,7000.0,5099.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Gamer Predator Helios Neo / Phn16-72-74vx / Intel® Core I7-14700hx De 14ªgeração / 16gb / 512ssd / Windows 11 Home / Nvidia Geforce Rtx 4070 Gddr6 / Tela 16,Acer Brasil,4.8,145.0,12999.0,9999.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,Vikings,4.8,932.0,4141.0,2754.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",123 Comprou,4.6,213.0,3212.0,2024.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Acer Brasil,4.8,2112.0,7299.0,6099.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Lenovo IdeaPad 1 15IAU7 Intel Core i7-1255U HD 15.6"" Intel Iris Xe 512GB SSD 12GB RAM Windows 11- 82VY000PBR",Carrefour,4.7,289.0,4799.0,3915.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",INPOWER,4.8,897.0,4599.0,3699.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook ASUS Vivobook Go 15 E510KA Intel Celeron Dual Core N4500 4GB Ram 128GB EMMC Windows 11 Home 15,60"" HD Black - BR808WS",Asus,4.4,124.0,1999.0,1618.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Gamer ASUS TUF Gaming A15 AMD Ryzen 7 7435HS 3,1 GHz RTX3050 16GB RAM 512GB SSD Windows 11 Home Tela 15,6 144Hz IPS FHD Graphite Black - FA506NCR-HN088W",Mercado Livre,4.9,78.0,6499.0,5999.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731",Mercado Livre,4.8,1056.0,2729.0,2593.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",123 Comprou,4.7,79.0,3284.0,2299.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD,123 Comprou,4.8,63.0,4570.0,2969.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,123 Comprou,4.5,648.0,2064.0,1250.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Acer Vero AV15-53P-72JT Intel Core i7 – 1355U 13ªG 16GB 512GB SSD W11 15.6”,Vikings,5.0,10.0,6284.0,3871.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Acer Brasil,4.8,3590.0,5299.0,4699.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Acer Nitro V15 Anv15-52-96aq Intel® Core I9-13900h De 13° G 16gb 512gb Ssd Rtx4060 Windows 11 Home 15.6,Acer Brasil,4.5,11.0,8999.0,7799.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i5-13420h 8gb 512gb Ssd Linux 15.3 - 83nss00000 Luna Grey,Lenovo,4.9,10.0,3199.0,2799.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza,Positivo,4.6,3696.0,1999.0,1499.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Asus Vivobook S14 S3407va Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Tela 14 Led Fhd Silver - Ly043w,Asus,5.0,4.0,5999.0,5045.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Intel Iris Xe Windows 11 Home Tela 15,6 Fhd Silver - Nj1740w",Asus,4.9,57.0,3599.0,2914.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,Dell,4.8,2198.0,3698.0,3370.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL",Acer Brasil,4.8,1567.0,7299.0,5499.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Aspire GO 15 Ag15-71p-5405 Ci5 16gb 512gb Ssd Led Linux Acer,Mercado Livre,4.9,20.0,4932.0,2999.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Acer TravelMate Intel® Core™ i7–1355U de 13ª Geração 16GB RAM 512SSD Windows 11 Pro 14"" WUXGA TMP214-55-70G2",Acer Brasil,4.6,16.0,7999.0,4499.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Acer Aspire 3 Intel Core I3 - N305, 8G RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" Full HD - A315-510P-34XC 110V/220V",Mercado Livre,4.8,9399.0,3682.0,2598.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD",Loi Brasil,5.0,3.0,4666.0,2999.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Acer Aspire 5 15.6 Fhd I5-12450h 256gb Ssd 8gb Cor Cinza,Itotal,4.6,130.0,3990.0,2747.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B",Eshop,4.8,467.0,3237.0,2541.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza",TCN,4.8,1572.0,3190.0,2289.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 16gb Ram 512gb Ssd Linux Keepos Tela 15,6 Led Fhd Black - Nj1288",Asus,4.8,437.0,3299.0,2695.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,123 Comprou,4.1,7.0,2427.0,1529.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Fast Shop,4.9,793.0,3199.0,2734.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Led Fhd Silver - Nj1726",Asus,4.6,32.0,2799.0,2491.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Inspiron I15-i1300-a80p I7 16gb 1tb W11 Preto Dell,Dell,4.0,7.0,5398.0,4899.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Acer Vero AV15-53P-56HM Intel® Core™ i5 – 1335U 15.6” Full HD Intel® Iris® Xe 512 GB SSD 8 GB RAM Windows 11 Home,2Eletro,4.9,58.0,4636.0,2999.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,HP,4.8,356.0,3232.0,2754.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",INPOWER,4.8,897.0,4599.0,3699.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Dell 15.6  Fhd Intel I7 16gb 512gb Ssd Preto,Dell,4.8,47.0,4739.0,4399.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Positivo,4.5,559.0,2099.0,1399.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,HP,4.8,356.0,3232.0,2754.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i5-13420h 16gb 512gb Ssd Windows 11 15.3 - 83ns0001br Luna Grey,Lenovo,4.9,31.0,3799.0,3329.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Positivo,4.6,1232.0,2641.0,1756.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Samsung,4.8,2254.0,4099.0,3704.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Mobcom,4.9,627.0,5879.0,4899.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",123 Comprou,4.7,79.0,3284.0,2299.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",123 Comprou,4.6,213.0,3212.0,2024.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",Positivo,4.5,5385.0,1649.0,1299.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook,Mobcom,4.9,114.0,6657.0,4699.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",Positivo,4.7,230.0,2199.0,1499.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,HP,4.8,356.0,3232.0,2754.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook,Mobcom,4.9,114.0,6657.0,4699.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Dell 15.6  Fhd Intel I7 16gb 512gb Ssd Preto,Dell,4.8,47.0,4739.0,4399.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Positivo,4.5,559.0,2099.0,1399.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",Positivo,4.7,230.0,2199.0,1499.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook HP 256R G9 Intel Core i5-1334U 15.6 HD Intel UHD 256GB SSD 16GB RAM Windows 11 Home 64 PLS SL - BQ9L2AT#AK4,HP,5.0,2.0,4754.0,3324.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 16gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11xb0121h - Permite upgrade de memória RAM e SSD",Vaio,4.8,134.0,4799.0,3449.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Lenovo IdeaPad Slim 3 15IRH10 Intel Core i5-13420H 8GB 512GB SSD Windows 11 15.3"" - 83NS0002BR Luna Grey",NegociuN,5.0,2.0,4089.0000000000005,3329.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",Positivo,4.6,57.0,3899.0,2699.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",2Eletro,4.4,42.0,6998.0,4899.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,2Eletro,4.3,7.0,4110.0,2999.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",Eshop,5.0,60.0,7419.0,5025.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",Positivo,4.7,230.0,2199.0,1499.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6 Cinza",123 Comprou,4.9,8.0,2141.0,1321.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 256gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1739",Mercado Livre,4.6,23.0,2899.0,2706.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link Cinza,Positivo,4.6,4697.0,1799.0,1399.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook VAIO FE15 Intel Core i5 12ªgen 8GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux - Cinza Grafite - VJFE54F11XB2321H",Eshop,4.8,82.0,4950.0,2948.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Lenovo Ideapad 1 15amn7 Amd Ryzen 3 7320u 8gb 256gb Ssd Windows 11 15.6 - 82x5000mbr Cloud Grey,Lenovo,5.0,3.0,2449.0,2159.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Asus Vivobook Go Core I3 N305 4gb 256ssd W11 Fhd,Mercado Livre,4.7,657.0,2599.0,2329.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook VAIO FE16 AMD Ryzen 5-5625U Windows 11 Home 16GB RAM 512GB SSD Wi-Fi 6 Tela 16” IPS Full HD WUXGA Antirreflexo Cinza Grafite Vjfe69f11xb0721h - Permite upgrade de memória RAM e SSD,Positivo,5.0,4.0,4887.0,3849.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Acer Aspire 15 Ag15-51p-39mu Ci3 8gb 256gb Ssd Led Ips W11,Mercado Livre,5.0,6.0,4003.9999999999995,2699.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",2Eletro,4.4,42.0,6998.0,4899.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR",Eletro2U,4.7,1896.0,2499.0,1799.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook ASUS Vivobook Go E1504FA AMD Ryzen 5 7520U 8GB Ram 256GB SSD Windows 11 Tela 15,6"" FHD Black - NJ825W",Mercado Livre,4.8,166.0,2999.0,2668.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Positivo,4.5,559.0,2099.0,1399.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Lenovo Ideapad 1 Ryzen 5 - 7520u 8gb 512gb Ssd Linux 15.6 82X5S00500,Lenovo,4.8,1195.0,2699.0,2379.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1746",Asus,4.9,54.0,3699.0,2831.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Dell 15.6  Fhd Intel I7 16gb 512gb Ssd Preto,Dell,4.8,47.0,4739.0,4399.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Positivo,4.5,559.0,2099.0,1399.0,https://lista.mercadolivre.com.br/notebooks,2025-08-18 14:47:16.743024
